id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,private_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
7702372,2017-08-29 1:50:04 PM EDT,2017-08-29,2017-08-29 17:50:04 UTC,Eastern Time (US & Canada),,575668,emilyweigel,2017-08-29 17:54:47 UTC,2017-12-17 02:29:40 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7702372,,,"",,false,0,0,false,2,,,,,,,,,,,false,,,housefly,Musca domestica,House Fly,Insecta,120156
7702396,Tue Aug 29 2017 13:55:04 GMT-0400 (EDT),2017-08-29,2017-08-29 17:55:04 UTC,Eastern Time (US & Canada),,605480,amelas3,2017-08-29 17:56:50 UTC,2017-08-29 17:57:13 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7702396,https://static.inaturalist.org/photos/10097344/medium.jpg?1504029425,,"",,false,0,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7788201683,-84.3999950868,10,,,,,,,false,,,,Yucca filamentosa,common yucca,Plantae,81605
7702458,Tue Aug 29 2017 13:58:48 GMT-0400 (EDT),2017-08-29,2017-08-29 17:58:48 UTC,Eastern Time (US & Canada),,605480,amelas3,2017-08-29 18:00:15 UTC,2017-12-05 16:00:14 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7702458,https://static.inaturalist.org/photos/10097414/medium.jpg?1504029630,,"",,false,2,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7786589004,-84.4000264351,10,,,,,,,false,,,dicots,Magnoliopsida,dicots,Plantae,47124
7702536,Tue Aug 29 2017 14:00:22 GMT-0400 (EDT),2017-08-29,2017-08-29 18:00:22 UTC,Eastern Time (US & Canada),,605480,amelas3,2017-08-29 18:02:55 UTC,2017-09-25 16:44:14 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7702536,https://static.inaturalist.org/photos/10097483/medium.jpg?1504029782,,"",,false,2,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7786964933,-84.400022328,10,,,,,,,false,,,flowering plants,Angiospermae,flowering plants,Plantae,47125
7702627,Tue Aug 29 2017 14:04:30 GMT-0400 (EDT),2017-08-29,2017-08-29 18:04:30 UTC,Eastern Time (US & Canada),,605480,amelas3,2017-08-29 18:08:09 UTC,2018-11-14 03:33:35 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7702627,https://static.inaturalist.org/photos/10097629/medium.jpg?1504030096,,"",,false,1,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7785934797,-84.400010761,10,,,,,,,false,,,spurges,Euphorbia nutans,nodding spurge,Plantae,200052
7702653,Tue Aug 29 2017 14:08:21 GMT-0400 (EDT),2017-08-29,2017-08-29 18:08:21 UTC,Eastern Time (US & Canada),,605480,amelas3,2017-08-29 18:10:12 UTC,2017-09-06 15:49:31 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7702653,https://static.inaturalist.org/photos/10097667/medium.jpg?1504030222,,"",,false,1,0,true,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7785605807,-84.3999064901,10,,,,,,,false,,,southern magnolia,Magnolia grandiflora,southern magnolia,Plantae,83074
7706153,4:45 pm,2017-08-29,2017-08-29 20:45:00 UTC,Eastern Time (US & Canada),,605611,syu84,2017-08-29 21:10:46 UTC,2020-01-05 14:39:27 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7706153,https://static.inaturalist.org/photos/10103177/medium.jpg?1504041044,,"","",false,0,0,false,,"Fulton County, US-GA, US",33.784997,-84.404333,55,,,,,,,false,,,Bird nest,Aves,Birds,Aves,3
7706154,2017-08-29,2017-08-29,,Eastern Time (US & Canada),,607870,annelizzabeth,2017-08-29 21:11:19 UTC,2020-01-05 15:34:39 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7706154,https://static.inaturalist.org/photos/10103183/medium.jpeg?1504041075,,"",Bird nest in Crepe Myrtle,false,5,0,false,,Living Building,33.781323,-84.402788,55,,,,,,,false,,,Life,Life,,Fungi,48460
7706155,2017-08-29 16:49:49,2017-08-29,2017-08-30 02:49:49 UTC,Hawaii,,606944,kslicker,2017-08-29 21:11:26 UTC,2017-08-29 21:11:29 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7706155,https://static.inaturalist.org/photos/10103187/medium.jpg?1504041084,,"","",false,0,0,true,,"Fulton County, US-GA, US",33.780815,-84.401296,13,,,,,,,false,,,Pecan,Carya illinoinensis,pecan,Plantae,67593
7706160,2017-08-29,2017-08-29,,Eastern Time (US & Canada),,608296,jdenniss3,2017-08-29 21:11:48 UTC,2017-09-05 17:59:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7706160,https://static.inaturalist.org/photos/10103196/medium.jpeg?1504041104,,"",Fast-moving black beetle found under a rock.,false,1,0,false,,"Fulton County, US-GA, US",33.78102,-84.399354,55,,,,,,,false,,,Big-headed Ground Beetle,Scarites subterraneus,Big-headed Ground Beetle,Insecta,82724
7706163,"",,,Hawaii,,606944,kslicker,2017-08-29 21:11:55 UTC,2017-08-29 21:11:56 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7706163,,,"","",false,0,0,false,,"Fulton County, US-GA, US",33.780815,-84.401296,13,,,,,,,false,,,Pecan,Carya illinoinensis,pecan,Plantae,67593
7706168,2017-08-29,2017-08-29,,Eastern Time (US & Canada),,607318,jshuford,2017-08-29 21:12:25 UTC,2019-09-15 02:10:57 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7706168,https://static.inaturalist.org/photos/10103216/medium.jpeg?1504041139,,"",Found bird poop along sidewalk under trees ,false,0,0,false,,"Fulton, Georgia, United States",33.77855,-84.39959,27,,,,,,,false,,,bird poop,Aves,Birds,Aves,3
7706194,2017-08-29,2017-08-29,,Eastern Time (US & Canada),,608296,jdenniss3,2017-08-29 21:15:05 UTC,2020-01-05 14:42:36 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7706194,https://static.inaturalist.org/photos/10103263/medium.jpeg?1504041301,,"",White moving beetle larva found under a rock.,false,0,0,false,,"Fulton County, US-GA, US",33.781163,-84.399226,55,,,,,,,false,,,Beetle larva,Insecta,Insects,Insecta,47158
7706264,2017-08-29 16:53:58,2017-08-29,2017-08-30 02:53:58 UTC,Hawaii,,606944,kslicker,2017-08-29 21:20:01 UTC,2017-08-29 21:20:03 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7706264,https://static.inaturalist.org/photos/10103381/medium.jpg?1504041599,,"","",false,0,0,false,,"Fulton County, US-GA, US",33.781985,-84.402203,13,,,,,,,false,,,Maples,Acer,maples,Plantae,47727
7706267,2017-08-29 16:53:58,2017-08-29,2017-08-30 02:53:58 UTC,Hawaii,,606944,kslicker,2017-08-29 21:20:48 UTC,2017-08-29 21:20:50 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7706267,https://static.inaturalist.org/photos/10103387/medium.jpg?1504041647,,"","",false,0,0,false,,"Fulton County, US-GA, US",33.781985,-84.402203,13,,,,,,,false,,,Oaks,Quercus,oaks,Plantae,47851
7706268,2017-08-29 5:00:02 PM EDT,2017-08-29,2017-08-29 21:00:02 UTC,Eastern Time (US & Canada),,605952,vthompson7,2017-08-29 21:21:11 UTC,2017-08-29 21:38:46 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7706268,https://static.inaturalist.org/photos/10103395/medium.jpeg?1504041672,,"",Different types of plants,false,0,0,true,2,"883-899 Dalney St NW, Atlanta, GA 30318, USA",33.77904848,-84.39969434,4,,,,,,,false,,,,,,,
7706269,2017-08-29 16:53:58,2017-08-29,2017-08-30 02:53:58 UTC,Hawaii,,606944,kslicker,2017-08-29 21:21:30 UTC,2017-08-29 21:21:32 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7706269,https://static.inaturalist.org/photos/10103403/medium.jpg?1504041688,,"","",false,0,0,false,,"Fulton County, US-GA, US",33.787402,-84.396699,13,,,,,,,false,,,Grass,,,,
7706283,2017-08-29,2017-08-29,,Eastern Time (US & Canada),,608214,cjohnson354,2017-08-29 21:22:44 UTC,2019-09-15 02:11:24 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7706283,https://static.inaturalist.org/photos/10103446/medium.jpeg?1504041754,,"",4 Unknown bird nests found in trees surrounding parking lot,false,0,0,false,,"Fulton County, US-GA, US",33.781894,-84.398496,55,,,,,,,false,,,Bird nest,Vertebrata,Vertebrates,Animalia,355675
7706463,2017-08-29 16:50:11,2017-08-29,2017-08-29 20:50:11 UTC,Eastern Time (US & Canada),,607300,sarahkuechenmeister,2017-08-29 21:38:03 UTC,2018-12-17 18:18:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7706463,https://static.inaturalist.org/photos/10103716/medium.jpg?1504042681,,"",Magnolia trees,false,2,0,false,,Living building/parking lot,33.784801,-84.406135,55,,,,,,,false,,,southern magnolia,Magnolia grandiflora,southern magnolia,Plantae,83074
7706596,2017-08-29 4:53:15 PM EDT,2017-08-29,2017-08-29 20:53:15 UTC,Eastern Time (US & Canada),,605952,vthompson7,2017-08-29 21:46:02 UTC,2017-08-29 21:52:25 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7706596,https://static.inaturalist.org/photos/10103927/medium.jpeg?1504043167,,"",90 Hedges,false,0,0,true,2,"939 Hemphill Ave NW, Atlanta, GA 30318, USA",33.7794820218,-84.40181069,1376,,,,,,,false,gps,gps,,,,,
7706607,2017-08-29 16:50:11,2017-08-29,2017-08-29 20:50:11 UTC,Eastern Time (US & Canada),,607300,sarahkuechenmeister,2017-08-29 21:46:32 UTC,2020-01-05 14:44:00 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7706607,https://static.inaturalist.org/photos/10103937/medium.jpg?1504043189,,"",Banana leaf ,false,0,0,true,,Living building/parking lot,33.7844,-84.412336,55,,,,,,,false,,,,Liliopsida,monocots,Plantae,47163
7706629,2017-08-29 3:58:10 PM EDT,2017-08-29,2017-08-29 19:58:10 UTC,Eastern Time (US & Canada),,605952,vthompson7,2017-08-29 21:47:45 UTC,2018-10-26 00:36:11 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7706629,https://static.inaturalist.org/photos/10103998/medium.jpeg?1504043274,,"",8,false,2,0,true,2,"813 Ferst Dr NW, Atlanta, GA 30313, USA",33.7781914634,-84.4016675279,1376,,,,,,,false,gps,gps,dicots,Magnoliopsida,dicots,Plantae,47124
7706637,2017-08-29 16:50:11,2017-08-29,2017-08-29 20:50:11 UTC,Eastern Time (US & Canada),,607300,sarahkuechenmeister,2017-08-29 21:47:51 UTC,2019-10-13 23:16:03 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7706637,https://static.inaturalist.org/photos/10103997/medium.jpg?1504043268,,"","Tiny, oval leaf",false,2,0,false,,Living building/parking lot,33.7844,-84.412336,55,,,,,,,false,,,legumes,Fabaceae,legumes,Plantae,47122
7706697,2017-08-29 4:52:36 PM EDT,2017-08-29,2017-08-29 20:52:36 UTC,Eastern Time (US & Canada),,605952,vthompson7,2017-08-29 21:50:05 UTC,2017-09-04 16:40:47 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7706697,https://static.inaturalist.org/photos/10104098/medium.jpeg?1504043432,,"",Crape myrtles,false,0,0,false,2,"801 Ferst Dr, Atlanta, GA 30313, USA",33.7783976866,-84.4014670327,2752,,,,,,,false,gps,gps,,Lagerstroemia,crape-myrtles,Plantae,68717
7706708,2017-08-29 4:52:06 PM EDT,2017-08-29,2017-08-29 20:52:06 UTC,Eastern Time (US & Canada),,605952,vthompson7,2017-08-29 21:51:38 UTC,2020-01-05 14:44:59 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7706708,https://static.inaturalist.org/photos/10104128/medium.jpeg?1504043527,,"",Tree with no leaves along the road,false,0,0,true,2,"801 Ferst Dr, Atlanta, GA 30313, USA",33.7788778501,-84.400897398,2752,,,,,,,false,gps,gps,,Plantae,plants,Plantae,47126
7706717,2017-08-29,2017-08-29,,Eastern Time (US & Canada),,607300,sarahkuechenmeister,2017-08-29 21:52:19 UTC,2020-01-05 14:46:22 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7706717,https://static.inaturalist.org/photos/10104131/medium.jpg?1504043534,,"",Tiny shrub grass under magnolias,false,0,0,true,,Living building/parking lot,33.788439,-84.404354,55,,,,,,,false,,,,Liriope,,Plantae,142103
7709160,Tue Aug 29 2017 14:00:04 GMT-0400 (EDT),2017-08-29,2017-08-29 18:00:04 UTC,Eastern Time (US & Canada),,607324,kamariadansby,2017-08-30 01:26:37 UTC,2017-09-01 15:46:21 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7709160,https://static.inaturalist.org/photos/10108526/medium.jpg?1504056411,,"",,false,0,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7731816152,-84.396329058,1257,,,,,,,false,,,,Cicadidae,Typical Cicadas,Insecta,50186
7714807,Tue Aug 29 2017 14:11:44 GMT-0400 (EDT),2017-08-29,2017-08-29 18:11:44 UTC,Eastern Time (US & Canada),,606932,iveith3,2017-08-30 16:17:03 UTC,2017-08-30 16:17:10 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7714807,https://static.inaturalist.org/photos/10117995/medium.jpg?1504109824,,"","",false,0,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7786216667,-84.39988,,,,,,,,false,,,,Adephaga,Ground and Water Beetles,Insecta,340471
7714814,Tue Aug 29 2017 14:11:44 GMT-0400 (EDT),2017-08-29,2017-08-29 18:11:44 UTC,Eastern Time (US & Canada),,606932,iveith3,2017-08-30 16:18:19 UTC,2017-09-09 11:22:57 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7714814,https://static.inaturalist.org/photos/10118006/medium.jpg?1504109900,,"",,false,3,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7786216667,-84.39988,,,,,,,,false,,,Polistes,Polistes,Umbrella Paper Wasps,Insecta,52756
7727368,Thu Aug 31 2017 13:39:19 GMT-0400 (EDT),2017-08-31,2017-08-31 17:39:19 UTC,Eastern Time (US & Canada),,610797,lhiggins9,2017-08-31 17:39:27 UTC,2017-08-31 17:53:51 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7727368,https://static.inaturalist.org/photos/10138519/medium.jpg?1504201171,,"",,false,0,0,true,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7790577533,-84.3995699567,10,,,,,,,false,,,,Quercus,oaks,Plantae,47851
7727378,Thu Aug 31 2017 13:16:21 GMT-0400 (EDT),2017-08-31,2017-08-31 17:16:21 UTC,Eastern Time (US & Canada),,610797,lhiggins9,2017-08-31 17:40:42 UTC,2020-01-05 17:21:25 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7727378,https://static.inaturalist.org/photos/10138535/medium.jpg?1504201248,,"",,false,0,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7760366667,-84.3954616667,,,,,,,,false,,,,Cupressaceae,cypress family,Plantae,47374
7727489,Thu Aug 31 2017 13:50:20 GMT-0400 (EDT),2017-08-31,2017-08-31 17:50:20 UTC,Eastern Time (US & Canada),,610797,lhiggins9,2017-08-31 17:50:42 UTC,2019-07-14 16:58:17 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7727489,https://static.inaturalist.org/photos/10138679/medium.jpg?1504201844,,"",,false,0,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7791539776,-84.3995183241,10,,,,,,,false,,,,Angiospermae,flowering plants,Plantae,47125
7727495,Thu Aug 31 2017 13:51:35 GMT-0400 (EDT),2017-08-31,2017-08-31 17:51:35 UTC,Eastern Time (US & Canada),,610797,lhiggins9,2017-08-31 17:51:44 UTC,2018-10-12 12:45:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7727495,https://static.inaturalist.org/photos/10138696/medium.jpg?1504201921,,"",,false,2,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7791688973,-84.3995418773,10,,,,,,,false,,,white oak,Quercus alba,white oak,Plantae,54779
7727496,Thu Aug 31 2017 13:50:51 GMT-0400 (EDT),2017-08-31,2017-08-31 17:50:51 UTC,Eastern Time (US & Canada),,610336,kpendleton3,2017-08-31 17:52:06 UTC,2019-09-28 02:42:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7727496,https://static.inaturalist.org/photos/10138704/medium.jpg?1504201959,,"",,false,2,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7792958413,-84.3994466589,5,,,,,,,false,,,white clover,Trifolium repens,white clover,Plantae,55745
7727500,Thu Aug 31 2017 13:46:43 GMT-0400 (EDT),2017-08-31,2017-08-31 17:46:43 UTC,Eastern Time (US & Canada),false,610931,helenad97,2017-08-31 17:52:32 UTC,2017-08-31 18:27:19 UTC,research,,https://www.inaturalist.org/observations/7727500,https://static.inaturalist.org/photos/10138702/medium.jpg?1504201954,,"",,false,1,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7781338316,-84.3997961737,1414,,,,,,,false,,,Mourning Dove,Zenaida macroura,Mourning Dove,Aves,3454
7727533,Thu Aug 31 2017 13:55:12 GMT-0400 (EDT),2017-08-31,2017-08-31 17:55:12 UTC,Eastern Time (US & Canada),,610797,lhiggins9,2017-08-31 17:56:05 UTC,2017-09-04 16:40:00 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7727533,https://static.inaturalist.org/photos/10138739/medium.jpg?1504202167,,"",,false,0,0,true,3,"Georgia Institute of Technology, Atlanta, GA, US",33.779055574,-84.3995039911,10,,,,,,,false,,,,Camellia,Camellias,Plantae,83058
7727540,2017-08-31 1:56:06 PM EDT,2017-08-31,2017-08-31 17:56:06 UTC,Eastern Time (US & Canada),,608737,kyi8,2017-08-31 17:56:43 UTC,2020-01-05 17:23:29 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7727540,https://static.inaturalist.org/photos/10138746/medium.jpeg?1504202205,,"",,false,0,0,true,2,"883-899 Dalney St NW, Atlanta, GA 30318, USA",33.7790858,-84.39961927,9,,,,,,,false,,,,Acer,maples,Plantae,47727
7727541,Thu Aug 31 2017 13:56:30 GMT-0400 (EDT),2017-08-31,2017-08-31 17:56:30 UTC,Eastern Time (US & Canada),,610797,lhiggins9,2017-08-31 17:56:48 UTC,2018-02-11 03:19:41 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7727541,https://static.inaturalist.org/photos/10138748/medium.jpg?1504202212,,"",,false,2,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7791825179,-84.3993729819,10,,,,,,,false,,,dicots,Magnoliopsida,dicots,Plantae,47124
7727548,Thu Aug 31 2017 13:56:45 GMT-0400 (EDT),2017-08-31,2017-08-31 17:56:45 UTC,Eastern Time (US & Canada),,610336,kpendleton3,2017-08-31 17:58:06 UTC,2020-01-05 17:24:06 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7727548,https://static.inaturalist.org/photos/10138808/medium.jpg?1504202393,,"",,false,0,0,true,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7791061169,-84.3996616547,5,,,,,,,false,,,,Plantae,plants,Plantae,47126
7727549,2017-08-31 1:57:51 PM EDT,2017-08-31,2017-08-31 17:57:51 UTC,Eastern Time (US & Canada),,608737,kyi8,2017-08-31 17:58:13 UTC,2018-11-29 05:04:43 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7727549,https://static.inaturalist.org/photos/10138767/medium.jpeg?1504202294,,"",,false,0,0,false,2,"883-899 Dalney St NW, Atlanta, GA 30318, USA",33.77906331,-84.39962751,25,,,,,,,false,,,,Quercus,oaks,Plantae,47851
7727551,Thu Aug 31 2017 13:47:57 GMT-0400 (EDT),2017-08-31,2017-08-31 17:47:57 UTC,Eastern Time (US & Canada),,607903,qianna,2017-08-31 17:58:16 UTC,2017-10-31 20:49:43 UTC,research,,https://www.inaturalist.org/observations/7727551,https://static.inaturalist.org/photos/10138776/medium.jpg?1504202308,,"","",false,2,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.779105,-84.3993833333,,,,,,,,false,,,Common Checkered-Skipper,Pyrgus communis,Common Checkered-Skipper,Insecta,51349
7727556,2017-08-31 1:58:23 PM EDT,2017-08-31,2017-08-31 17:58:23 UTC,Eastern Time (US & Canada),,608737,kyi8,2017-08-31 17:58:47 UTC,2020-01-05 17:25:36 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7727556,https://static.inaturalist.org/photos/10138786/medium.jpeg?1504202328,,"",,false,0,0,true,2,"883-899 Dalney St NW, Atlanta, GA 30318, USA",33.77914592,-84.3996351,10,,,,,,,false,,,,Plantae,plants,Plantae,47126
7727559,Thu Aug 31 2017 13:58:35 GMT-0400 (EDT),2017-08-31,2017-08-31 17:58:35 UTC,Eastern Time (US & Canada),,608346,catabailey,2017-08-31 17:58:58 UTC,2019-01-08 23:25:07 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7727559,https://static.inaturalist.org/photos/10138790/medium.jpg?1504202342,,"",,false,2,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7789767841,-84.3993642648,10,,,,,,,false,,,dicots,Magnoliopsida,dicots,Plantae,47124
7727573,Thu Aug 31 2017 13:57:49 GMT-0400 (EDT),2017-08-31,2017-08-31 17:57:49 UTC,Eastern Time (US & Canada),,610336,kpendleton3,2017-08-31 17:59:58 UTC,2020-01-05 17:26:40 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7727573,https://static.inaturalist.org/photos/10138829/medium.jpg?1504202453,,"",,false,0,0,true,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7790777022,-84.3996775803,5,,,,,,,false,,,,Plantae,plants,Plantae,47126
7727577,Thu Aug 31 2017 14:00:06 GMT-0400 (EDT),2017-08-31,2017-08-31 18:00:06 UTC,Eastern Time (US & Canada),,608346,catabailey,2017-08-31 18:00:19 UTC,2017-09-05 21:38:39 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7727577,https://static.inaturalist.org/photos/10138819/medium.jpg?1504202422,,"",Possibly dying-no leaves on tree,false,0,0,true,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7790420372,-84.3993915059,10,,,,,,,false,,,,Acer palmatum,Japanese maple,Plantae,63512
7727580,Thu Aug 31 2017 14:00:37 GMT-0400 (EDT),2017-08-31,2017-08-31 18:00:37 UTC,Eastern Time (US & Canada),,608346,catabailey,2017-08-31 18:00:51 UTC,2019-01-21 19:05:06 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7727580,https://static.inaturalist.org/photos/10138830/medium.jpg?1504202454,,"",,false,2,0,true,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7790951366,-84.3993554638,10,,,,,,,false,,,dicots,Magnoliopsida,dicots,Plantae,47124
7727582,2017-08-31 2:00:10 PM EDT,2017-08-31,2017-08-31 18:00:10 UTC,Eastern Time (US & Canada),,606538,melissa184,2017-08-31 18:01:06 UTC,2019-11-24 06:58:37 UTC,needs_id,,https://www.inaturalist.org/observations/7727582,https://static.inaturalist.org/photos/10138832/medium.jpeg?1504202469,,"",Unknown bird feather,false,2,0,false,2,"801 Ferst Dr, Atlanta, GA 30313, USA",33.7784983018,-84.3996762142,8,,,,,,,false,,,Birds,Aves,Birds,Aves,3
7727585,2017-08-31 2:00:38 PM EDT,2017-08-31,2017-08-31 18:00:38 UTC,Eastern Time (US & Canada),,608737,kyi8,2017-08-31 18:01:45 UTC,2020-01-05 17:27:40 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7727585,https://static.inaturalist.org/photos/10138838/medium.jpeg?1504202506,,"",,false,0,0,false,2,"884-908 State St NW, Atlanta, GA 30318, USA",33.7791671753,-84.3994445801,,,,,,,,false,gps,gps,,Plantae,plants,Plantae,47126
7727588,Thu Aug 31 2017 14:01:38 GMT-0400 (EDT),2017-08-31,2017-08-31 18:01:38 UTC,Eastern Time (US & Canada),,608346,catabailey,2017-08-31 18:01:49 UTC,2017-09-06 15:46:54 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7727588,https://static.inaturalist.org/photos/10138843/medium.jpg?1504202513,,"",,false,2,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7791275746,-84.3994343375,10,,,,,,,false,,,flowering plants,Angiospermae,flowering plants,Plantae,47125
7727593,Thu Aug 31 2017 13:59:55 GMT-0400 (EDT),2017-08-31,2017-08-31 17:59:55 UTC,Eastern Time (US & Canada),,610336,kpendleton3,2017-08-31 18:02:55 UTC,2017-09-06 15:47:08 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/7727593,https://static.inaturalist.org/photos/10138853/medium.jpg?1504202600,,"",,false,2,0,true,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7790001696,-84.3998292089,5,,,,,,,false,,,Crape myrtle,Lagerstroemia indica,Crape-myrtle,Plantae,135394
7727594,Thu Aug 31 2017 14:00:43 GMT-0400 (EDT),2017-08-31,2017-08-31 18:00:43 UTC,Eastern Time (US & Canada),,610336,kpendleton3,2017-08-31 18:03:27 UTC,2020-01-05 17:28:59 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7727594,https://static.inaturalist.org/photos/10138862/medium.jpg?1504202648,,"",,false,0,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.7790072523,-84.3998640776,5,,,,,,,false,,,,Liliopsida,monocots,Plantae,47163
7727603,Thu Aug 31 2017 14:02:27 GMT-0400 (EDT),2017-08-31,2017-08-31 18:02:27 UTC,Eastern Time (US & Canada),,610336,kpendleton3,2017-08-31 18:04:15 UTC,2017-09-06 15:46:02 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7727603,https://static.inaturalist.org/photos/10138883/medium.jpg?1504202694,,"",,false,2,0,false,3,"Georgia Institute of Technology, Atlanta, GA, US",33.778525712,-84.3997127843,10,,,,,,,false,,,monocots,Liliopsida,monocots,Plantae,47163
